subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
109,Kentsel Çalışmalar,Sosyal > Sosyal > Kentsel Çalışmalar,Sosyal,Sosyal,Kentsel Çalışmalar,3,LEAF_SUBJECT,Sosyal > Sosyal > Kentsel Çalışmalar,ARTICLE_SUBJECT_DATA
110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen,Temel Bilimler,"Kimya, Analitik",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Kimya, Analitik",ARTICLE_SUBJECT_DATA
111,"Kimya, İnorganik ve Nükleer","Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",Fen,Temel Bilimler,"Kimya, İnorganik ve Nükleer",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",ARTICLE_SUBJECT_DATA
112,"Kimya, Organik","Fen > Temel Bilimler > Kimya, Organik",Fen,Temel Bilimler,"Kimya, Organik",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Kimya, Organik",ARTICLE_SUBJECT_DATA
113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen,Temel Bilimler,"Kimya, Tıbbi",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Kimya, Tıbbi",ARTICLE_SUBJECT_DATA
114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen,Temel Bilimler,"Kimya, Uygulamalı",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Kimya, Uygulamalı",ARTICLE_SUBJECT_DATA
115,Klinik Nöroloji,Fen > Tıp > Klinik Nöroloji,Fen,Tıp,Klinik Nöroloji,3,LEAF_SUBJECT,Fen > Tıp > Klinik Nöroloji,ARTICLE_SUBJECT_DATA
116,Kriminoloji ve Ceza Bilimi,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,Sosyal,Sosyal,Kriminoloji ve Ceza Bilimi,3,LEAF_SUBJECT,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,ARTICLE_SUBJECT_DATA
117,"Kulak, Burun, Boğaz","Fen > Tıp > Kulak, Burun, Boğaz",Fen,Tıp,"Kulak, Burun, Boğaz",3,LEAF_SUBJECT,"Fen > Tıp > Kulak, Burun, Boğaz",ARTICLE_SUBJECT_DATA
118,Kuş Bilimi,Fen > Temel Bilimler > Kuş Bilimi,Fen,Temel Bilimler,Kuş Bilimi,3,LEAF_SUBJECT,Fen > Temel Bilimler > Kuş Bilimi,ARTICLE_SUBJECT_DATA
119,Kültürel Çalışmalar,Sosyal > Sosyal > Kültürel Çalışmalar,Sosyal,Sosyal,Kültürel Çalışmalar,3,LEAF_SUBJECT,Sosyal > Sosyal > Kültürel Çalışmalar,ARTICLE_SUBJECT_DATA
120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen,Temel Bilimler,Limnoloji,3,LEAF_SUBJECT,Fen > Temel Bilimler > Limnoloji,ARTICLE_SUBJECT_DATA
